id,text,start,end,article_id,lang,CLS_Event type,CLS_Information type,
18031,"Authorities detect second outbreak of the avian flu in FranceParis, Dec 10 (Prensa Latina)",0,90,MO5GLFVP9X,EN,CE,DE,
18032,"French authorities confirmed today the detection of a second outbreak of avian influenza in duck farms in southwestern Landas department, where they activated a health prevention plan.",91,275,MO5GLFVP9X,EN,CE,DE,
18033,"The disease is spreading, the local prefecture acknowledged in a statement, in which it reported the finding of viral contagion in birds of the Saint-Geours-de-Maremne commune, after the finding early this week of the first outbreak not far from there, in Benesse-Maremne.",275,547,MO5GLFVP9X,EN,CE,DE,
18034,"A laboratory of the National Health Security Agency analyzed samples of ducks and certified the presence of this feared infectious disease, which typically does not attack human beings, although there have been cases of highly pathogenic strains that cause serious respiratory problems in humans.",547,843,MO5GLFVP9X,EN,CE,PCM,
18035,"Landas's Prefecture warned people that their clothes, cars, and other materials can carry the virus if they had contact with infected birds, and called on all the actors of the sector, from breeders to veterinarians, to be vigilant.",843,1075,MO5GLFVP9X,EN,CE,PCM,
18036,"The outbreak in Benesse-Maremne led to the slaughter of 6,000 ducks, which aggravated the crisis in the foie-gras production in southwestern France.ef/aph/agp/wmr/gdc",1075,1241,MO5GLFVP9X,EN,CE,DE,
207209,Second North Yorkshire turkey farm confirmed to have avian flu case as investigators try to find the source of the infection,0,126,M9Y31PW9YJ,EN,CE,PCM,
207211,"Second North Yorkshire turkey farm confirmed to have avian flu case as investigators try to find the source of the infectionA second North Yorkshire farm has been confirmed to have an outbreak of avian flu today, which now makes three sites over two farms.",133,389,M9Y31PW9YJ,EN,CE,PCM,
207212,"Thursday, 3rd December 2020, 4:53 pm.",390,429,M9Y31PW9YJ,EN,CE,IR,
207213,"Updated Thursday, 3rd December 2020, 5:33 pmA 3km zone in Northallerton has been closed to prevent the spread of the infectious virus.",429,565,M9Y31PW9YJ,EN,CE,PCM,
207214,"The company which runs the sites, Avara Foods, told the Yorkshire Post that an investigation was underway to find out the source of the H5N8 infection.",565,716,M9Y31PW9YJ,EN,CE,PCM,
207215,"The second farm affected is thought to be geographically close to the initial case in the county, which was confirmed as Sowber Hill Farm at Newby Wiske, near Northallerton.",717,890,M9Y31PW9YJ,EN,CE,PCM,
207216,Sign up to our daily newsletter.,891,925,M9Y31PW9YJ,EN,CE,IR,
207217,The i newsletter cut through the noise.,925,966,M9Y31PW9YJ,EN,CE,PCM,
207218,"Though the farm is owned and run by the Willis family, the turkey rearing operation is contracted to Northamptonshire-based Avara Foods.",966,1102,M9Y31PW9YJ,EN,CE,PCM,
207219,The second farm has not been named but it is also contracted to Avara Foods.,1103,1179,M9Y31PW9YJ,EN,CE,PCM,
207220,"More than 10,000 birds have been culled.",1180,1220,M9Y31PW9YJ,EN,CE,PCM,
207221,"Earlier this week, a 3km exclusion zone was put in place around Sowber Hill, and security personnel could be seen at the farm.",1221,1347,M9Y31PW9YJ,EN,CE,PCM,
207222,Unauthorised personnel are now banned from entering the premises.,1348,1413,M9Y31PW9YJ,EN,CE,PCM,
207223,Poultry keepers in the area will now be expected to strengthen their biosecurity measures and a housing order - which requires anyone who owns free-range birds to keep them indoors is expected to be announced this week.,1414,1633,M9Y31PW9YJ,EN,CE,PCM,
207224,An Avara Foods spokesman said: `` Avian Influenza ( H5N8 ) has been confirmed on a turkey farm complex within the Avara Foods supply chain.,1634,1773,M9Y31PW9YJ,EN,CE,PCM,
207225,"We can confirm that all birds on site will be humanely culled and the complex will undergo intensive cleaning and disinfection, as per APHA regulations.",1774,1926,M9Y31PW9YJ,EN,CE,PCM,
207226,`` Investigations to identify how the virus established itself onsite,1927,1996,M9Y31PW9YJ,EN,CE,PCM,
207228,`` We have enacted our contingency plan and are working closely with government agencies and our wider suppliers and farming operations to manage this incident effectively and ensure that supply is not disrupted.,2010,2222,M9Y31PW9YJ,EN,CE,PCM,
207230,"On the discovery of the first Yorkshire case this week, UK chief veterinary officer Christine Middlemiss said: `` I have declared a national Avian Influenza Prevention Zone ( AIPZ ) legislating for actions all bird keepers must take to help prevent the disease spreading to more poultry and other domestic birds.",2396,2708,M9Y31PW9YJ,EN,CE,PCM,
207231,`` Public Health England has confirmed that the risk to public health is very low and the Food Standards Agency advises that bird flu poses a very low food safety risk for UK consumers.,2709,2894,M9Y31PW9YJ,EN,CE,PCM,
207232,"`` Whether you keep just a few birds or thousands, you are now legally required to meet enhanced biosecurity requirements and this is in your interests to do, to protect your birds from this highly infectious disease. ''",2895,3115,M9Y31PW9YJ,EN,CE,PCM,
